"id","contest_id","file_type","observations","status","upload_date","user_email","user_id","user_name"
"dc6c7cff-66b1-478a-bf6e-79eb58eda152","5c142844-6255-4f6d-bf3e-8c689523d700","mp3","asdfsdaf","processing","2022-05-13T03:46:25.656258+0000","jonatan@yopmail.com","1","Jonatan Hernandez"
"62ec9904-8423-4421-b08c-f639ef3a9d36","932d494c-a290-4c94-a4bf-3a2b7700f5e4","wav","this is a test","processing","2022-05-13T03:51:05.486215+0000","prueba@yopmail.com","69","Carlos Salazar"
"a34aa355-f38e-4520-83f3-f4987c595b1c","5c142844-6255-4f6d-bf3e-8c689523d700","mp3","asdfsdaf","processing","2022-05-13T03:46:02.885491+0000","jonatan@yopmail.com","1","Jonatan Hernandez"
"8a8baceb-4173-4f4c-a5f5-c4201763abe4","5c142844-6255-4f6d-bf3e-8c689523d700","mp3","asdfsdaf","processing","2022-05-13T03:46:24.465635+0000","jonatan@yopmail.com","1","Jonatan Hernandez"
"0071c95c-cb40-44eb-b8c8-5db73b397470","932d494c-a290-4c94-a4bf-3a2b7700f5e4","wav","this is a test","processing","2022-05-13T03:51:04.700495+0000","prueba@yopmail.com","69","Carlos Salazar"
"05efe170-b999-46bd-950d-0a9abccf2ff6","932d494c-a290-4c94-a4bf-3a2b7700f5e4","wav","this is a test","processing","2022-05-13T03:51:13.931194+0000","prueba@yopmail.com","69","Carlos Salazar"
"d62d35b6-549a-4dc8-82e0-95271bc7e575","932d494c-a290-4c94-a4bf-3a2b7700f5e4","wav","this is a test","processing","2022-05-13T03:51:13.732459+0000","prueba@yopmail.com","69","Carlos Salazar"
"ecb7c857-046e-49dd-9e53-23ca8de1f7f6","932d494c-a290-4c94-a4bf-3a2b7700f5e4","wav","this is a test","processing","2022-05-13T03:51:08.044146+0000","prueba@yopmail.com","69","Carlos Salazar"
"901bcc78-390e-49af-9043-57529b15cd2c","932d494c-a290-4c94-a4bf-3a2b7700f5e4","wav","this is a test","converted","2022-05-13T04:14:17.859360+0000","prueba@yopmail.com","69","Carlos Salazar"
"d91adca9-c3f8-4124-aea7-b208d6c975f0","5c142844-6255-4f6d-bf3e-8c689523d700","mp3","asdfsdaf","processing","2022-05-13T03:46:00.980263+0000","jonatan@yopmail.com","1","Jonatan Hernandez"
"b2f13749-0529-4a09-837b-5e17246e366a","932d494c-a290-4c94-a4bf-3a2b7700f5e4","wav","this is a test","converted","2022-05-13T03:55:03.313145+0000","prueba@yopmail.com","69","Carlos Salazar"
"a3783d3c-fa9c-4a7b-ac89-f6a418a16aa1","932d494c-a290-4c94-a4bf-3a2b7700f5e4","wav","this is a test","processing","2022-05-13T03:55:07.981490+0000","prueba@yopmail.com","69","Carlos Salazar"
"7bf99eea-f4a7-4e10-a709-21d79c5968e2","932d494c-a290-4c94-a4bf-3a2b7700f5e4","wav","this is a test","processing","2022-05-13T03:51:00.674641+0000","prueba@yopmail.com","69","Carlos Salazar"
"a03edcc6-6c71-4877-a76a-884ad32f08c6","932d494c-a290-4c94-a4bf-3a2b7700f5e4","wav","this is a test","converted","2022-05-13T04:14:20.970717+0000","prueba@yopmail.com","69","Carlos Salazar"
"ee386d40-7286-410f-a7c4-8b22ff63e1f6","5c142844-6255-4f6d-bf3e-8c689523d700","mp3","asdfsdaf","converted","2022-05-13T03:45:57.639031+0000","jonatan@yopmail.com","1","Jonatan Hernandez"
"2b3d2007-e09f-497c-9a45-554f18ec3ca6","932d494c-a290-4c94-a4bf-3a2b7700f5e4","wav","this is a test","processing","2022-05-13T04:10:47.143353+0000","prueba@yopmail.com","69","Carlos Salazar"
"b5c6c3f9-6a3f-4354-89dc-3ef5a6388900","5c142844-6255-4f6d-bf3e-8c689523d700","mp3","asdfsdaf","processing","2022-05-13T03:46:22.938465+0000","jonatan@yopmail.com","1","Jonatan Hernandez"
"cf542605-697e-406a-83a4-51c0573b8580","932d494c-a290-4c94-a4bf-3a2b7700f5e4","wav","this is a test","converted","2022-05-13T04:14:07.163769+0000","prueba@yopmail.com","69","Carlos Salazar"
"93a2e11d-6d45-49f6-a050-9a21c836ac43","5c142844-6255-4f6d-bf3e-8c689523d700","mp3","asdfsdaf","processing","2022-05-13T03:46:43.497138+0000","jonatan@yopmail.com","1","Jonatan Hernandez"
"cd2a0516-0a04-4552-a55a-bd7cc790eb57","5c142844-6255-4f6d-bf3e-8c689523d700","mp3","asdfsdaf","converted","2022-05-13T03:46:58.240930+0000","jonatan@yopmail.com","1","Jonatan Hernandez"
"4f9db986-b6b1-434e-94f5-248b196f79a5","932d494c-a290-4c94-a4bf-3a2b7700f5e4","wav","this is a test","processing","2022-05-13T04:10:50.652474+0000","prueba@yopmail.com","69","Carlos Salazar"
"99075597-e588-47fa-87a6-d42758466f7e","5c142844-6255-4f6d-bf3e-8c689523d700","mp3","asdfsdaf","processing","2022-05-13T03:46:24.796330+0000","jonatan@yopmail.com","1","Jonatan Hernandez"
"39aec57d-01e6-46e4-9377-1c014733d867","5c142844-6255-4f6d-bf3e-8c689523d700","mp3","asdfsdaf","processing","2022-05-13T03:46:04.147373+0000","jonatan@yopmail.com","1","Jonatan Hernandez"
"4278750e-445d-45db-be77-7e751765c2f7","932d494c-a290-4c94-a4bf-3a2b7700f5e4","wav","this is a test","converted","2022-05-13T04:10:26.431519+0000","prueba@yopmail.com","69","Carlos Salazar"
"70f6e724-5c7e-42e6-8b29-9890a292f3a9","5c142844-6255-4f6d-bf3e-8c689523d700","mp3","asdfsdaf","converted","2022-05-13T03:45:56.127227+0000","jonatan@yopmail.com","1","Jonatan Hernandez"
"065d5407-8f87-4483-959d-e7ab3875ade2","932d494c-a290-4c94-a4bf-3a2b7700f5e4","wav","this is a test","converted","2022-05-13T04:10:33.539706+0000","prueba@yopmail.com","69","Carlos Salazar"
"241e9de1-d22f-46e3-8a55-64e26538376d","5c142844-6255-4f6d-bf3e-8c689523d700","mp3","asdfsdaf","processing","2022-05-13T03:46:45.281847+0000","jonatan@yopmail.com","1","Jonatan Hernandez"
"791d0822-4470-46b1-8f53-1ec8d26a9ef6","932d494c-a290-4c94-a4bf-3a2b7700f5e4","wav","this is a test","converted","2022-05-13T04:14:26.138731+0000","prueba@yopmail.com","69","Carlos Salazar"
"4802d44f-3c47-46c1-9772-10ad9144629f","2a0532eb-0c31-456f-9307-be6f82453038","mp3","asdfsdaf","processing","2022-05-14T00:37:32.567393+0000","jonatan1@yopmail.com","2","Jonatan Hernandez"
"e34d2ce1-4ae9-4bbf-8b76-6021c83eab19","932d494c-a290-4c94-a4bf-3a2b7700f5e4","wav","this is a test","processing","2022-05-13T03:55:11.357432+0000","prueba@yopmail.com","69","Carlos Salazar"
"b932bf14-cfac-47cd-a29d-25ec00199e3b","932d494c-a290-4c94-a4bf-3a2b7700f5e4","wav","this is a test","processing","2022-05-13T03:51:09.169067+0000","prueba@yopmail.com","69","Carlos Salazar"
"0ba93101-24ea-417c-8aa1-4afa63c8e8a1","932d494c-a290-4c94-a4bf-3a2b7700f5e4","wav","this is a test","processing","2022-05-13T04:14:25.461079+0000","prueba@yopmail.com","69","Carlos Salazar"
"a8d520eb-e4ab-4e54-abe6-857aa8db1782","932d494c-a290-4c94-a4bf-3a2b7700f5e4","wav","this is a test","processing","2022-05-13T04:10:45.461918+0000","prueba@yopmail.com","69","Carlos Salazar"
"49378bf2-8b32-4688-8d69-4af5a3447c31","5c142844-6255-4f6d-bf3e-8c689523d700","mp3","asdfsdaf","processing","2022-05-13T03:47:29.656672+0000","jonatan@yopmail.com","1","Jonatan Hernandez"
